ID,Nombre,Region,Localidad,Fecha,Datos,Fuente,Fuente2,x,y,Tratamiento,Comentario,top,bottom,Arcilla,Limo,arena,Dr,Da,CC,PMP,PDR,PDL,PAU,PAI,PT,RD,Ke,Ks,Vi,pH,MO,N,P,K,VDMA
13571,CODPA 3,15,Altiplano,NA,Galleguillos,UChile,NA,-69.6399534,-18.71244946,testigo,NA,0,10,8.1255449,40.6277245,51.2467306,-999,1.385284625,0.203718327,0.085725316,0.058569019,0.100585924,0.117993011,0.085725316,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13572,CHUSMIZA 1 sin veg,1,Altiplano,NA,Galleguillos,UChile,NA,-69.82359826,-18.46560062,testigo,NA,0,10,10.26227303,9.23604573,80.50168124,-999,1.603220793,0.14005635,0.12764104,0.08276057,0.090187801,0.01241531,0.12764104,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13573,CHUSMIZA 2 poca veg,1,Altiplano,NA,Galleguillos,UChile,NA,-69.83138604,-18.4701486,testigo,NA,0,10,9.162931034,30.54310345,60.29396552,-999,1.700605166,0.107394988,0.097252537,0.050929582,0.131752614,0.010142451,0.097252537,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13574,CHUSMIZA 3 mala veg,1,Altiplano,NA,Galleguillos,UChile,NA,-69.8570038,-18.47953277,testigo,NA,0,10,26.02946732,30.19418209,43.77635059,-999,1.314693855,0.16937047,0.159462867,0.113703252,0.086461848,0.009907603,0.159462867,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13575,PUTRE 1,15,Altiplano,NA,Galleguillos,UChile,NA,-69.3570538,-19.79925874,testigo,NA,0,10,3.034090909,32.36363636,64.60227273,-999,1.759284901,0.078608702,0.076768796,0.06200123,0.095216175,0.001839907,0.076768796,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13576,PUTRE 2,15,Altiplano,NA,Galleguillos,UChile,NA,-69.27167839,-19.76498764,testigo,NA,0,10,4.065862981,36.59276683,59.34137019,-999,1.740987546,0.101859164,0.075760337,0.058971095,0.069693112,0.026098827,0.075760337,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13577,PUTRE 3,15,Altiplano,NA,Galleguillos,UChile,NA,-69.20803515,-19.69653697,testigo,NA,0,10,5.101434068,44.8926198,50.00594614,-999,1.689730347,0.183346494,0.090232063,0.069037878,0.053193119,0.093114431,0.090232063,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13647,POS_2,9,Trancura,NA,Seguel,UChile,Brandon,-71.5007962,-39.34218456,testigo,Pradera Natural,0,21,3.943093923,38.33563536,57.72127072,1.993355109,0.737417703,0.43950256,0.234701925,0.125091441,0.047549378,0.204800636,0.234701925,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
13670,MQ,2,Mejillones,2010,Seguel,UChile,NA,-70.37611131,-23.12416658,testigo,NA,6,90,4,5.2,90.7,-999,1.59,0.0357,0.0273,-999,-999,-999,-999,-999,-999,3.6,-999,-999,8.5,0.11,12,1,127,-999
13757,Paz-1,NA,NA,NA,Seguel,UChile,NA,-70.54872242,-26.10941696,testigo,NA,0,20,10.26447462,16.4231594,73.31236598,2.776969322,1.761597817,0.109504729,0.05843762,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
