id,soil depth,x,y,Fuente,profundidad,values
462,120,-70.66411046,-31.89666824,CIREN,0-5 cm,1.3313757219051414
463,120,-73.13164587,-39.14923818,CIREN,0-5 cm,0.6162441344865001
464,150,-72.95529816,-36.57434108,CIREN,0-5 cm,1.4902976928731262
466,150,-72.58756035,-37.09468753,CIREN,0-5 cm,1.3329166493010804
468,90,-71.372951,-33.70375839,CIREN,0-5 cm,1.4410807973657154
469,120,-71.95958369,-36.40643587,CIREN,0-5 cm,1.4884259254500574
470,70,-72.04915903,-36.55805088,CIREN,0-5 cm,1.3778618870388288
471,85,-71.18211121,-30.5704863,CIREN,0-5 cm,1.7244279840469643
473,72,-70.79219434,-34.11087699,CIREN,0-5 cm,1.3556849793024472
474,140,-72.1612373,-36.33366984,CIREN,0-5 cm,1.4671760627233732
475,120,-71.39858855,-33.98455711,CIREN,0-5 cm,1.799768939391477
476,100,-72.82179814,-38.01979204,CIREN,0-5 cm,1.2905153468374904
477,116,-71.89316034,-37.28127078,CIREN,0-5 cm,0.8125094806298928
478,110,-71.87978642,-36.59988981,CIREN,0-5 cm,1.277049492447201
479,110,-71.80143005,-35.34224538,CIREN,0-5 cm,1.4813651859855372
480,100,-71.3522359,-31.62884851,CIREN,0-5 cm,1.5249145515353006
481,200,-73.14994668,-39.7495806,CIREN,0-5 cm,0.8260223611820726
484,80,-73.03569957,-39.70400108,CIREN,0-5 cm,0.806153423165128
485,91,-70.69985299,-33.84560716,CIREN,0-5 cm,1.726701112229019
486,24,-71.84323544,-35.71711149,CIREN,0-5 cm,1.716663333499992
488,55,-72.31489251,-38.20753099,CIREN,0-5 cm,0.8467792986595071
489,67,-70.70066238,-30.02253102,CIREN,0-5 cm,1.6
490,50,-71.76476461,-36.00374688,CIREN,0-5 cm,1.66018642628921
491,100,-72.24372427,-39.30818982,CIREN,0-5 cm,0.6576544408158788
492,120,-71.3365836,-33.9731283,CIREN,0-5 cm,1.595880825013207
494,66,-72.33624165,-38.68419861,CIREN,0-5 cm,0.8413311595053139
496,120,-71.10636368,-33.80867287,CIREN,0-5 cm,1.8741701790599752
498,70,-71.23733532,-30.07539074,CIREN,0-5 cm,1.8783831851359356
500,125,-71.97399254,-37.09995003,CIREN,0-5 cm,0.8439493753799646
501,51,-70.9839199,-34.47399892,CIREN,0-5 cm,1.415058958573768
503,130,-71.97702191,-45.55663466,CIREN,0-5 cm,0.897370743629059
504,90,-71.71092801,-46.54208229,CIREN,0-5 cm,0.8838411360444707
505,108,-71.69060128,-46.53986255,CIREN,0-5 cm,0.8559729209641196
506,120,-71.99720798,-45.68302328,CIREN,0-5 cm,0.6804917905055309
507,105,-71.70411438,-45.93723751,CIREN,0-5 cm,0.9429901958203852
508,110,-71.93054899,-45.81292892,CIREN,0-5 cm,0.6986787927180093
509,82,-71.18013099,-28.46354955,CIREN,0-5 cm,1.420985739438506
510,65,-71.09941136,-28.50722947,CIREN,0-5 cm,1.2876662892377373
511,80,-72.64702168,-47.32350256,CIREN,0-5 cm,0.8077050739912796
512,103,-72.39495855,-43.96559031,CIREN,0-5 cm,0.6004020717483333
513,67,-72.61853116,-46.55437012,CIREN,0-5 cm,0.6145533711759003
514,78,-72.06719826,-47.11078642,CIREN,0-5 cm,0.8113010813754151
517,105,-71.36013007,-44.5236901,CIREN,0-5 cm,1.1697024611675708
518,80,-71.86417353,-44.26773273,CIREN,0-5 cm,0.6148634708343148
519,100,-72.14182839,-45.15730621,CIREN,0-5 cm,0.7355351396078114
520,80,-71.66645132,-45.19300265,CIREN,0-5 cm,1.058658754958843
521,130,-72.53217368,-44.28734274,CIREN,0-5 cm,0.8427693709560758
522,51,-71.4493107,-45.19111772,CIREN,0-5 cm,1.4533634506319408
523,100,-72.35142251,-44.64069485,CIREN,0-5 cm,0.8758914191894093
524,120,-72.47598965,-45.38302365,CIREN,0-5 cm,0.7524488090094119
525,90,-71.78502634,-44.65950235,CIREN,0-5 cm,0.6076118023550616
526,85,-71.99971024,-45.34359239,CIREN,0-5 cm,0.7553794863276609
549,87,-71.28091141,-34.06400168,CIREN,0-5 cm,1.701232376166345
